,Cam,Police,Population,Visibility,Safety
893,No,May Be,Moderate,Moderate,1
894,No,May Be,Moderate,Moderate,1
895,No,May Be,Moderate,Moderate,1
896,No,May Be,Moderate,Moderate,1
897,No,May Be,Moderate,Moderate,1
898,No,May Be,Moderate,Moderate,1
899,No,May Be,Moderate,Moderate,1
900,No,May Be,Moderate,Moderate,1
901,No,May Be,Moderate,Moderate,1
902,No,May Be,Moderate,Moderate,1
903,No,May Be,Moderate,Moderate,1
904,No,May Be,Moderate,Moderate,1
905,No,May Be,Moderate,Moderate,1
906,No,May Be,Moderate,Moderate,1
907,No,May Be,Moderate,Moderate,1
908,No,May Be,Moderate,Moderate,1
909,No,May Be,Moderate,Moderate,1
910,No,May Be,Moderate,Moderate,1
911,No,May Be,Moderate,Moderate,1
912,No,May Be,Moderate,Moderate,1
913,No,May Be,Moderate,Moderate,1
914,No,May Be,Moderate,Moderate,1
915,No,May Be,Moderate,Moderate,1
916,No,May Be,Moderate,Moderate,1
917,No,May Be,Moderate,Moderate,1
918,No,May Be,Moderate,Moderate,1
919,No,May Be,Moderate,Moderate,1
920,No,May Be,Moderate,Moderate,1
921,No,May Be,Moderate,Moderate,1
922,No,May Be,Moderate,Moderate,1
923,No,May Be,Moderate,Moderate,1
924,No,May Be,Moderate,Moderate,1
925,No,May Be,Moderate,Moderate,1
926,No,May Be,Moderate,Moderate,1
927,No,May Be,Moderate,Moderate,1
928,No,May Be,Moderate,Moderate,1
929,No,May Be,Moderate,Moderate,1
930,No,May Be,Moderate,Moderate,1
931,No,May Be,Moderate,Moderate,1
932,No,May Be,Moderate,Moderate,1
933,No,May Be,Moderate,Moderate,1
934,No,May Be,Moderate,Moderate,1
935,No,May Be,Moderate,Moderate,1
936,No,May Be,Moderate,Moderate,1
937,No,May Be,Moderate,Moderate,1
938,No,May Be,Moderate,Moderate,1
939,No,May Be,Moderate,High,2
940,No,May Be,Moderate,High,2
941,No,May Be,Moderate,High,2
942,No,May Be,Moderate,High,2
943,No,May Be,Moderate,High,2
944,No,May Be,Moderate,High,2
945,No,May Be,Moderate,High,2
946,No,May Be,Moderate,High,2
947,No,May Be,Moderate,High,2
948,No,May Be,Moderate,High,2
949,No,May Be,Moderate,High,2
950,No,May Be,Moderate,High,2
951,No,May Be,Moderate,High,2
952,No,May Be,Moderate,High,2
953,No,May Be,Moderate,High,2
954,No,May Be,Moderate,High,2
955,No,May Be,Moderate,High,2
956,No,May Be,Moderate,High,2
957,No,May Be,Moderate,High,2
958,No,May Be,Moderate,High,2
959,No,May Be,Moderate,High,2
960,No,May Be,Moderate,High,2
961,No,May Be,Moderate,High,2
962,No,May Be,Moderate,High,2
963,No,May Be,Moderate,High,2
964,No,May Be,Moderate,High,2
965,No,May Be,Moderate,High,2
966,No,May Be,Moderate,High,2
967,No,May Be,Moderate,High,2
968,No,May Be,Moderate,High,2
969,No,May Be,Moderate,High,2
970,No,May Be,Moderate,High,2
971,No,May Be,Moderate,High,2
972,No,May Be,Moderate,High,2
973,No,May Be,Moderate,High,2
974,No,May Be,Moderate,High,2
975,No,May Be,Moderate,High,2
976,No,May Be,Moderate,High,2
977,No,May Be,Moderate,High,2
978,No,May Be,Moderate,High,2
979,No,May Be,Moderate,High,2
980,No,May Be,Moderate,High,2
981,No,May Be,Moderate,High,2
982,No,May Be,High,Low,1
983,No,May Be,High,Low,1
984,No,May Be,High,Low,1
985,No,May Be,High,Low,1
986,No,May Be,High,Low,1
987,No,May Be,High,Low,1
988,No,May Be,High,Low,1
989,No,May Be,High,Low,1
990,No,May Be,High,Low,1
991,No,May Be,High,Low,1
992,No,May Be,High,Low,1
993,No,May Be,High,Low,1
994,No,May Be,High,Low,1
995,No,May Be,High,Low,1
996,No,May Be,High,Low,1
997,No,May Be,High,Low,1
998,No,May Be,High,Low,1
999,No,May Be,High,Low,1
1000,No,May Be,High,Low,1
1001,No,May Be,High,Low,1
1002,No,May Be,High,Low,1
1003,No,May Be,High,Low,1
1004,No,May Be,High,Low,1
1005,No,May Be,High,Low,1
1006,No,May Be,High,Low,1
1007,No,May Be,High,Low,1
1008,No,May Be,High,Low,1
1009,No,May Be,High,Low,1
1010,No,May Be,High,Low,1
1011,No,May Be,High,Low,1
1012,No,May Be,High,Low,1
1013,No,May Be,High,Low,1
1014,No,May Be,High,Low,1
1015,No,May Be,High,Low,1
1016,No,May Be,High,Low,1
1017,No,May Be,High,Low,1
1018,No,May Be,High,Low,1
1019,No,May Be,High,Low,1
1020,No,May Be,High,Low,1
1021,No,May Be,High,Low,1
1022,No,May Be,High,Low,1
1023,No,May Be,High,Low,1
1024,No,May Be,High,Low,1
1025,No,May Be,High,Low,1
1026,No,May Be,High,Low,1
1027,No,May Be,High,Low,1
1028,No,May Be,High,Low,1
1029,No,May Be,High,Low,1
1030,No,May Be,High,Low,1
1031,No,May Be,High,Low,1
1032,No,May Be,High,Moderate,2
1033,No,May Be,High,Moderate,2
1034,No,May Be,High,Moderate,2
1035,No,May Be,High,Moderate,2
1036,No,May Be,High,Moderate,2
1037,No,May Be,High,Moderate,2
1038,No,May Be,High,Moderate,2
1039,No,May Be,High,Moderate,2
1040,No,May Be,High,Moderate,2
1041,No,May Be,High,Moderate,2
1042,No,May Be,High,Moderate,2
1043,No,May Be,High,Moderate,2
1044,No,May Be,High,Moderate,2
1045,No,May Be,High,Moderate,2
1046,No,May Be,High,Moderate,2
1047,No,May Be,High,Moderate,2
1048,No,May Be,High,Moderate,2
1049,No,May Be,High,Moderate,2
1050,No,May Be,High,Moderate,2
1051,No,May Be,High,Moderate,2
1052,No,May Be,High,Moderate,2
1053,No,May Be,High,Moderate,2
1054,No,May Be,High,Moderate,2
1055,No,May Be,High,Moderate,2
1056,No,May Be,High,Moderate,2
1057,No,May Be,High,Moderate,2
1058,No,May Be,High,Moderate,2
1059,No,May Be,High,Moderate,2
1060,No,May Be,High,Moderate,2
1061,No,May Be,High,Moderate,2
1062,No,May Be,High,Moderate,2
1063,No,May Be,High,Moderate,2
1064,No,May Be,High,Moderate,2
1065,No,May Be,High,Moderate,2
1066,No,May Be,High,Moderate,2
1067,No,May Be,High,Moderate,2
1068,No,May Be,High,Moderate,2
1069,No,May Be,High,Moderate,2
1070,No,May Be,High,Moderate,2
1071,No,May Be,High,Moderate,2
1072,No,May Be,High,Moderate,2
1073,No,May Be,High,Moderate,2
1074,No,May Be,High,Moderate,2
1075,No,May Be,High,High,2
1076,No,May Be,High,High,2
1077,No,May Be,High,High,2
1078,No,May Be,High,High,2
1079,No,May Be,High,High,2
1080,No,May Be,High,High,2
1081,No,May Be,High,High,2
1082,No,May Be,High,High,2
1083,No,May Be,High,High,2
1084,No,May Be,High,High,2
1085,No,May Be,High,High,2
1086,No,May Be,High,High,2
1087,No,May Be,High,High,2
1088,No,May Be,High,High,2
1089,No,May Be,High,High,2
1090,No,May Be,High,High,2
1091,No,May Be,High,High,2
1092,No,May Be,High,High,2
1093,No,May Be,High,High,2
1094,No,May Be,High,High,2
1095,No,May Be,High,High,2
1096,No,May Be,High,High,2
1097,No,May Be,High,High,2
1098,No,May Be,High,High,2
1099,No,May Be,High,High,2
1100,No,May Be,High,High,2
1101,No,May Be,High,High,2
1102,No,May Be,High,High,2
1103,No,May Be,High,High,2
1104,No,May Be,High,High,2
1105,No,May Be,High,High,2
1106,No,May Be,High,High,2
1107,No,May Be,High,High,2
1108,No,May Be,High,High,2
1109,No,May Be,High,High,2
1110,No,May Be,High,High,2
1111,No,May Be,High,High,2
1112,No,May Be,High,High,2
1113,No,May Be,High,High,2
1114,No,May Be,High,High,2
1115,No,May Be,High,High,2
1116,No,May Be,High,High,2
1117,No,May Be,High,High,2
1118,No,Yes,Low,Low,1
1119,No,Yes,Low,Low,1
1120,No,Yes,Low,Low,1
1121,No,Yes,Low,Low,1
1122,No,Yes,Low,Low,1
1123,No,Yes,Low,Low,1
1124,No,Yes,Low,Low,1
1125,No,Yes,Low,Low,1
1126,No,Yes,Low,Low,1
1127,No,Yes,Low,Low,1
1128,No,Yes,Low,Low,1
1129,No,Yes,Low,Low,1
1130,No,Yes,Low,Low,1
1131,No,Yes,Low,Low,1
1132,No,Yes,Low,Low,1
1133,No,Yes,Low,Low,1
1134,No,Yes,Low,Low,1
1135,No,Yes,Low,Low,1
1136,No,Yes,Low,Low,1
1137,No,Yes,Low,Low,1
1138,No,Yes,Low,Low,1
1139,No,Yes,Low,Low,1
1140,No,Yes,Low,Low,1
1141,No,Yes,Low,Low,1
1142,No,Yes,Low,Low,1
1143,No,Yes,Low,Low,1
1144,No,Yes,Low,Low,1
1145,No,Yes,Low,Low,1
1146,No,Yes,Low,Low,1
1147,No,Yes,Low,Low,1
1148,No,Yes,Low,Low,1
1149,No,Yes,Low,Low,1
1150,No,Yes,Low,Low,1
1151,No,Yes,Low,Low,1
1152,No,Yes,Low,Low,1
1153,No,Yes,Low,Low,1
1154,No,Yes,Low,Low,1
1155,No,Yes,Low,Low,1
1156,No,Yes,Low,Low,1
1157,No,Yes,Low,Low,1
1158,No,Yes,Low,Low,1
1159,No,Yes,Low,Low,1
1160,No,Yes,Low,Low,1
1161,No,Yes,Low,Low,1
1162,No,Yes,Low,Low,1
1163,No,Yes,Low,Low,1
1164,No,Yes,Low,Low,1
1165,No,Yes,Low,Low,1
1166,No,Yes,Low,Low,1
1167,No,Yes,Low,Low,1
1168,No,Yes,Low,Moderate,2
1169,No,Yes,Low,Moderate,2
1170,No,Yes,Low,Moderate,2
1171,No,Yes,Low,Moderate,2
1172,No,Yes,Low,Moderate,2
1173,No,Yes,Low,Moderate,2
1174,No,Yes,Low,Moderate,2
1175,No,Yes,Low,Moderate,2
1176,No,Yes,Low,Moderate,2
1177,No,Yes,Low,Moderate,2
1178,No,Yes,Low,Moderate,2
1179,No,Yes,Low,Moderate,2
1180,No,Yes,Low,Moderate,2
1181,No,Yes,Low,Moderate,2
1182,No,Yes,Low,Moderate,2
1183,No,Yes,Low,Moderate,2
1184,No,Yes,Low,Moderate,2
1185,No,Yes,Low,Moderate,2
1186,No,Yes,Low,Moderate,2
1187,No,Yes,Low,Moderate,2
1188,No,Yes,Low,Moderate,2
1189,No,Yes,Low,Moderate,2
1190,No,Yes,Low,Moderate,2
1191,No,Yes,Low,Moderate,2
1192,No,Yes,Low,Moderate,2
1193,No,Yes,Low,Moderate,2
1194,No,Yes,Low,Moderate,2
1195,No,Yes,Low,Moderate,2
1196,No,Yes,Low,Moderate,2
1197,No,Yes,Low,Moderate,2
1198,No,Yes,Low,Moderate,2
1199,No,Yes,Low,Moderate,2
1200,No,Yes,Low,Moderate,2
1201,No,Yes,Low,Moderate,2
1202,No,Yes,Low,Moderate,2
1203,No,Yes,Low,Moderate,2
1204,No,Yes,Low,Moderate,2
1205,No,Yes,Low,Moderate,2
1206,No,Yes,Low,Moderate,2
1207,No,Yes,Low,Moderate,2
1208,No,Yes,Low,Moderate,2
1209,No,Yes,Low,Moderate,2
1210,No,Yes,Low,Moderate,2
1211,No,Yes,Low,High,3
1212,No,Yes,Low,High,3
1213,No,Yes,Low,High,3
1214,No,Yes,Low,High,3
1215,No,Yes,Low,High,3
1216,No,Yes,Low,High,3
1217,No,Yes,Low,High,3
1218,No,Yes,Low,High,3
1219,No,Yes,Low,High,3
1220,No,Yes,Low,High,3
1221,No,Yes,Low,High,3
1222,No,Yes,Low,High,3
1223,No,Yes,Low,High,3
1224,No,Yes,Low,High,3
1225,No,Yes,Low,High,3
1226,No,Yes,Low,High,3
1227,No,Yes,Low,High,3
1228,No,Yes,Low,High,3
1229,No,Yes,Low,High,3
1230,No,Yes,Low,High,3
1231,No,Yes,Low,High,3
1232,No,Yes,Low,High,3
1233,No,Yes,Low,High,3
1234,No,Yes,Low,High,3
1235,No,Yes,Low,High,3
1236,No,Yes,Low,High,3
1237,No,Yes,Low,High,3
1238,No,Yes,Low,High,3
1239,No,Yes,Low,High,3
1240,No,Yes,Low,High,3
1241,No,Yes,Low,High,3
1242,No,Yes,Low,High,3
1243,No,Yes,Low,High,3
1244,No,Yes,Low,High,3
1245,No,Yes,Low,High,3
1246,No,Yes,Low,High,3
1247,No,Yes,Low,High,3
1248,No,Yes,Low,High,3
1249,No,Yes,Low,High,3
1250,No,Yes,Low,High,3
1251,No,Yes,Low,High,3
1252,No,Yes,Low,High,3
1253,No,Yes,Low,High,3
1254,No,Yes,Low,High,3
1255,No,Yes,Low,High,3
1256,No,Yes,Low,High,3
1257,No,Yes,Low,High,3
1258,No,Yes,Low,High,3
1259,No,Yes,Low,High,3
1260,No,Yes,Low,High,3
1261,No,Yes,Low,High,3
1262,No,Yes,Low,High,3
1263,No,Yes,Low,High,3
1264,No,Yes,Low,High,3
1265,No,Yes,Low,High,3
1266,No,Yes,Low,High,3
1267,No,Yes,Low,High,3
1268,No,Yes,Low,High,3
1269,No,Yes,Low,High,3
1270,No,Yes,Moderate,Low,1
1271,No,Yes,Moderate,Low,1
1272,No,Yes,Moderate,Low,1
1273,No,Yes,Moderate,Low,1
1274,No,Yes,Moderate,Low,1
1275,No,Yes,Moderate,Low,1
1276,No,Yes,Moderate,Low,1
1277,No,Yes,Moderate,Low,1
1278,No,Yes,Moderate,Low,1
1279,No,Yes,Moderate,Low,1
1280,No,Yes,Moderate,Low,1
1281,No,Yes,Moderate,Low,1
1282,No,Yes,Moderate,Low,1
1283,No,Yes,Moderate,Low,1
1284,No,Yes,Moderate,Low,1
1285,No,Yes,Moderate,Low,1
1286,No,Yes,Moderate,Low,1
1287,No,Yes,Moderate,Low,1
1288,No,Yes,Moderate,Low,1
1289,No,Yes,Moderate,Low,1
1290,No,Yes,Moderate,Low,1
1291,No,Yes,Moderate,Low,1
1292,No,Yes,Moderate,Low,1
1293,No,Yes,Moderate,Low,1
1294,No,Yes,Moderate,Low,1
1295,No,Yes,Moderate,Low,1
1296,No,Yes,Moderate,Low,1
1297,No,Yes,Moderate,Low,1
1298,No,Yes,Moderate,Low,1
1299,No,Yes,Moderate,Low,1
1300,No,Yes,Moderate,Low,1
1301,No,Yes,Moderate,Low,1
1302,No,Yes,Moderate,Low,1
1303,No,Yes,Moderate,Low,1
1304,No,Yes,Moderate,Low,1
1305,No,Yes,Moderate,Low,1
1306,No,Yes,Moderate,Low,1
1307,No,Yes,Moderate,Low,1
1308,No,Yes,Moderate,Low,1
1309,No,Yes,Moderate,Low,1
1310,No,Yes,Moderate,Low,1
1311,No,Yes,Moderate,Low,1
1312,No,Yes,Moderate,Low,1
1313,No,Yes,Moderate,Low,1
1314,No,Yes,Moderate,Low,1
1315,No,Yes,Moderate,Low,1
1316,No,Yes,Moderate,Low,1
1317,No,Yes,Moderate,Low,1
1318,No,Yes,Moderate,Low,1
1319,No,Yes,Moderate,Low,1
1320,No,Yes,Moderate,Moderate,2
1321,No,Yes,Moderate,Moderate,2
1322,No,Yes,Moderate,Moderate,2
1323,No,Yes,Moderate,Moderate,2
1324,No,Yes,Moderate,Moderate,2
1325,No,Yes,Moderate,Moderate,2
1326,No,Yes,Moderate,Moderate,2
1327,No,Yes,Moderate,Moderate,2
1328,No,Yes,Moderate,Moderate,2
1329,No,Yes,Moderate,Moderate,2
1330,No,Yes,Moderate,Moderate,2
1331,No,Yes,Moderate,Moderate,2
1332,No,Yes,Moderate,Moderate,2
1333,No,Yes,Moderate,Moderate,2
1334,No,Yes,Moderate,Moderate,2
1335,No,Yes,Moderate,Moderate,2
1336,No,Yes,Moderate,Moderate,2
1337,No,Yes,Moderate,Moderate,2
1338,No,Yes,Moderate,Moderate,2
1339,No,Yes,Moderate,Moderate,2
1340,No,Yes,Moderate,Moderate,2
1341,No,Yes,Moderate,Moderate,2
1342,No,Yes,Moderate,Moderate,2
1343,No,Yes,Moderate,Moderate,2
1344,No,Yes,Moderate,Moderate,2
1345,No,Yes,Moderate,Moderate,2
1346,No,Yes,Moderate,Moderate,2
1347,No,Yes,Moderate,Moderate,2
1348,No,Yes,Moderate,Moderate,2
1349,No,Yes,Moderate,Moderate,2
1350,No,Yes,Moderate,Moderate,2
1351,No,Yes,Moderate,Moderate,2
1352,No,Yes,Moderate,Moderate,2
1353,No,Yes,Moderate,Moderate,2
1354,No,Yes,Moderate,Moderate,2
1355,No,Yes,Moderate,Moderate,2
1356,No,Yes,Moderate,Moderate,2
1357,No,Yes,Moderate,Moderate,2
1358,No,Yes,Moderate,Moderate,2
1359,No,Yes,Moderate,Moderate,2
1360,No,Yes,Moderate,Moderate,2
1361,No,Yes,Moderate,Moderate,2
1362,No,Yes,Moderate,Moderate,2
1363,No,Yes,Moderate,High,3
1364,No,Yes,Moderate,High,3
1365,No,Yes,Moderate,High,3
1366,No,Yes,Moderate,High,3
1367,No,Yes,Moderate,High,3
1368,No,Yes,Moderate,High,3
1369,No,Yes,Moderate,High,3
1370,No,Yes,Moderate,High,3
1371,No,Yes,Moderate,High,3
1372,No,Yes,Moderate,High,3
1373,No,Yes,Moderate,High,3
1374,No,Yes,Moderate,High,3
1375,No,Yes,Moderate,High,3
1376,No,Yes,Moderate,High,3
1377,No,Yes,Moderate,High,3
1378,No,Yes,Moderate,High,3
1379,No,Yes,Moderate,High,3
1380,No,Yes,Moderate,High,3
1381,No,Yes,Moderate,High,3
1382,No,Yes,Moderate,High,3
1383,No,Yes,Moderate,High,3
1384,No,Yes,Moderate,High,3
1385,No,Yes,Moderate,High,3
1386,No,Yes,Moderate,High,3
1387,No,Yes,Moderate,High,3
1388,No,Yes,Moderate,High,3
1389,No,Yes,Moderate,High,3
1390,No,Yes,Moderate,High,3
1391,No,Yes,Moderate,High,3
1392,No,Yes,Moderate,High,3
1393,No,Yes,Moderate,High,3
1394,No,Yes,Moderate,High,3
1395,No,Yes,Moderate,High,3
1396,No,Yes,Moderate,High,3
1397,No,Yes,Moderate,High,3
1398,No,Yes,Moderate,High,3
1399,No,Yes,Moderate,High,3
1400,No,Yes,Moderate,High,3
1401,No,Yes,Moderate,High,3
1402,No,Yes,Moderate,High,3
1403,No,Yes,Moderate,High,3
1404,No,Yes,Moderate,High,3
1405,No,Yes,Moderate,High,3
1406,No,Yes,Moderate,High,3
1407,No,Yes,Moderate,High,3
1408,No,Yes,Moderate,High,3
1409,No,Yes,Moderate,High,3
1410,No,Yes,Moderate,High,3
1411,No,Yes,Moderate,High,3
1412,No,Yes,Moderate,High,3
1413,No,Yes,Moderate,High,3
1414,No,Yes,Moderate,High,3
1415,No,Yes,Moderate,High,3
1416,No,Yes,Moderate,High,3
1417,No,Yes,Moderate,High,3
1418,No,Yes,Moderate,High,3
1419,No,Yes,Moderate,High,3
1420,No,Yes,Moderate,High,3
1421,No,Yes,Moderate,High,3
1422,No,Yes,High,Low,2
1423,No,Yes,High,Low,2
1424,No,Yes,High,Low,2
1425,No,Yes,High,Low,2
1426,No,Yes,High,Low,2
1427,No,Yes,High,Low,2
1428,No,Yes,High,Low,2
1429,No,Yes,High,Low,2
1430,No,Yes,High,Low,2
1431,No,Yes,High,Low,2
1432,No,Yes,High,Low,2
1433,No,Yes,High,Low,2
1434,No,Yes,High,Low,2
1435,No,Yes,High,Low,2
1436,No,Yes,High,Low,2
1437,No,Yes,High,Low,2
1438,No,Yes,High,Low,2
1439,No,Yes,High,Low,2
1440,No,Yes,High,Low,2
1441,No,Yes,High,Low,2
1442,No,Yes,High,Low,2
1443,No,Yes,High,Low,2
1444,No,Yes,High,Low,2
1445,No,Yes,High,Low,2
1446,No,Yes,High,Low,2
1447,No,Yes,High,Low,2
1448,No,Yes,High,Low,2
1449,No,Yes,High,Low,2
1450,No,Yes,High,Low,2
1451,No,Yes,High,Low,2
1452,No,Yes,High,Low,2
1453,No,Yes,High,Low,2
1454,No,Yes,High,Low,2
1455,No,Yes,High,Low,2
1456,No,Yes,High,Low,2
1457,No,Yes,High,Low,2
1458,No,Yes,High,Low,2
1459,No,Yes,High,Low,2
1460,No,Yes,High,Low,2
1461,No,Yes,High,Low,2
1462,No,Yes,High,Low,2
1463,No,Yes,High,Low,2
1464,No,Yes,High,Low,2
1465,No,Yes,High,Moderate,3
1466,No,Yes,High,Moderate,3
1467,No,Yes,High,Moderate,3
1468,No,Yes,High,Moderate,3
1469,No,Yes,High,Moderate,3
1470,No,Yes,High,Moderate,3
1471,No,Yes,High,Moderate,3
1472,No,Yes,High,Moderate,3
1473,No,Yes,High,Moderate,3
1474,No,Yes,High,Moderate,3
1475,No,Yes,High,Moderate,3
1476,No,Yes,High,Moderate,3
1477,No,Yes,High,Moderate,3
1478,No,Yes,High,Moderate,3
1479,No,Yes,High,Moderate,3
1480,No,Yes,High,Moderate,3
1481,No,Yes,High,Moderate,3
1482,No,Yes,High,Moderate,3
1483,No,Yes,High,Moderate,3
1484,No,Yes,High,Moderate,3
1485,No,Yes,High,Moderate,3
1486,No,Yes,High,Moderate,3
1487,No,Yes,High,Moderate,3
1488,No,Yes,High,Moderate,3
1489,No,Yes,High,Moderate,3
1490,No,Yes,High,Moderate,3
1491,No,Yes,High,Moderate,3
1492,No,Yes,High,Moderate,3
1493,No,Yes,High,Moderate,3
1494,No,Yes,High,Moderate,3
1495,No,Yes,High,Moderate,3
1496,No,Yes,High,Moderate,3
1497,No,Yes,High,Moderate,3
1498,No,Yes,High,Moderate,3
1499,No,Yes,High,Moderate,3
1500,No,Yes,High,Moderate,3
1501,No,Yes,High,Moderate,3
1502,No,Yes,High,Moderate,3
1503,No,Yes,High,Moderate,3
1504,No,Yes,High,Moderate,3
1505,No,Yes,High,Moderate,3
1506,No,Yes,High,Moderate,3
1507,No,Yes,High,Moderate,3
1508,No,Yes,High,Moderate,3
1509,No,Yes,High,Moderate,3
1510,No,Yes,High,Moderate,3
1511,No,Yes,High,Moderate,3
1512,No,Yes,High,Moderate,3
1513,No,Yes,High,Moderate,3
1514,No,Yes,High,Moderate,3
1515,No,Yes,High,Moderate,3
1516,No,Yes,High,Moderate,3
1517,No,Yes,High,Moderate,3
1518,No,Yes,High,Moderate,3
1519,No,Yes,High,Moderate,3
1520,No,Yes,High,Moderate,3
1521,No,Yes,High,Moderate,3
1522,No,Yes,High,Moderate,3
1523,No,Yes,High,Moderate,3
1524,No,Yes,High,High,4
1525,No,Yes,High,High,4
1526,No,Yes,High,High,4
1527,No,Yes,High,High,4
1528,No,Yes,High,High,4
1529,No,Yes,High,High,4
1530,No,Yes,High,High,4
1531,No,Yes,High,High,4
1532,No,Yes,High,High,4
1533,No,Yes,High,High,4
1534,No,Yes,High,High,4
1535,No,Yes,High,High,4
1536,No,Yes,High,High,4
1537,No,Yes,High,High,4
1538,No,Yes,High,High,4
1539,No,Yes,High,High,4
1540,No,Yes,High,High,4
1541,No,Yes,High,High,4
1542,No,Yes,High,High,4
1543,No,Yes,High,High,4
1544,No,Yes,High,High,4
1545,No,Yes,High,High,4
1546,No,Yes,High,High,4
1547,No,Yes,High,High,4
1548,No,Yes,High,High,4
1549,No,Yes,High,High,4
1550,No,Yes,High,High,4
1551,No,Yes,High,High,4
1552,No,Yes,High,High,4
1553,No,Yes,High,High,4
1554,No,Yes,High,High,4
1555,No,Yes,High,High,4
1556,No,Yes,High,High,4
1557,No,Yes,High,High,4
1558,No,Yes,High,High,4
1559,No,Yes,High,High,4
1560,No,Yes,High,High,4
1561,No,Yes,High,High,4
1562,No,Yes,High,High,4
1563,No,Yes,High,High,4
1564,No,Yes,High,High,4
1565,No,Yes,High,High,4
1566,No,Yes,High,High,4
1567,No,Yes,High,High,4
1568,No,Yes,High,High,4
1569,No,Yes,High,High,4
1570,No,Yes,High,High,4
1571,No,Yes,High,High,4
1572,No,Yes,High,High,4
1573,No,Yes,High,High,4
1574,No,Yes,High,High,4
1575,No,Yes,High,High,4
1576,No,Yes,High,High,4
1577,No,Yes,High,High,4
1578,No,Yes,High,High,4
1579,No,Yes,High,High,4
1580,No,Yes,High,High,4
1581,No,Yes,High,High,4
1582,No,Yes,High,High,4
1583,No,Yes,High,High,4
1584,No,Yes,High,High,4
1585,No,Yes,High,High,4
1586,No,Yes,High,High,4
1587,No,Yes,High,High,4
1588,No,Yes,High,High,4
1589,No,Yes,High,High,4
1590,No,Yes,High,High,4
1591,No,Yes,High,High,4
1592,No,Yes,High,High,4
1593,No,Yes,High,High,4
1594,No,Yes,High,High,4
1595,No,Yes,High,High,4
1596,No,Yes,High,High,4
1597,No,Yes,High,High,4
1598,No,Yes,High,High,4
1599,No,Yes,High,High,4
1600,No,Yes,High,High,4
1601,No,Yes,High,High,4
1602,No,Yes,High,High,4
1603,No,Yes,High,High,4
1604,No,Yes,High,High,4
1605,No,Yes,High,High,4
1606,No,Yes,High,High,4
1607,May Be,No,Low,Low,0
1608,May Be,No,Low,Low,0
1609,May Be,No,Low,Low,0
1610,May Be,No,Low,Low,0
1611,May Be,No,Low,Low,0
1612,May Be,No,Low,Low,0
1613,May Be,No,Low,Low,0
1614,May Be,No,Low,Low,0
1615,May Be,No,Low,Low,0
1616,May Be,No,Low,Low,0
1617,May Be,No,Low,Low,0
1618,May Be,No,Low,Low,0
1619,May Be,No,Low,Low,0
1620,May Be,No,Low,Low,0
1621,May Be,No,Low,Low,0
1622,May Be,No,Low,Low,0
1623,May Be,No,Low,Low,0
1624,May Be,No,Low,Low,0
1625,May Be,No,Low,Low,0
1626,May Be,No,Low,Low,0
1627,May Be,No,Low,Low,0
1628,May Be,No,Low,Low,0
1629,May Be,No,Low,Low,0
1630,May Be,No,Low,Low,0
1631,May Be,No,Low,Low,0
1632,May Be,No,Low,Low,0
1633,May Be,No,Low,Low,0
1634,May Be,No,Low,Low,0
1635,May Be,No,Low,Low,0
1636,May Be,No,Low,Low,0
1637,May Be,No,Low,Low,0
1638,May Be,No,Low,Low,0
1639,May Be,No,Low,Low,0
1640,May Be,No,Low,Low,0
1641,May Be,No,Low,Low,0
1642,May Be,No,Low,Low,0
1643,May Be,No,Low,Low,0
1644,May Be,No,Low,Low,0
1645,May Be,No,Low,Low,0
1646,May Be,No,Low,Low,0
1647,May Be,No,Low,Low,0
1648,May Be,No,Low,Low,0
1649,May Be,No,Low,Low,0
1650,May Be,No,Low,Low,0
1651,May Be,No,Low,Low,0
1652,May Be,No,Low,Low,0
1653,May Be,No,Low,Low,0
1654,May Be,No,Low,Low,0
1655,May Be,No,Low,Low,0
1656,May Be,No,Low,Low,0
1657,May Be,No,Low,Low,0
1658,May Be,No,Low,Low,0
1659,May Be,No,Low,Low,0
1660,May Be,No,Low,Low,0
1661,May Be,No,Low,Low,0
1662,May Be,No,Low,Low,0
1663,May Be,No,Low,Low,0
1664,May Be,No,Low,Low,0
1665,May Be,No,Low,Low,0
1666,May Be,No,Low,Low,0
1667,May Be,No,Low,Low,0
1668,May Be,No,Low,Low,0
1669,May Be,No,Low,Low,0
1670,May Be,No,Low,Low,0
1671,May Be,No,Low,Low,0
1672,May Be,No,Low,Low,0
1673,May Be,No,Low,Low,0
1674,May Be,No,Low,Low,0
1675,May Be,No,Low,Low,0
1676,May Be,No,Low,Low,0
1677,May Be,No,Low,Low,0
1678,May Be,No,Low,Low,0
1679,May Be,No,Low,Low,0
1680,May Be,No,Low,Low,0
1681,May Be,No,Low,Low,0
1682,May Be,No,Low,Low,0
1683,May Be,No,Low,Low,0
1684,May Be,No,Low,Low,0
1685,May Be,No,Low,Low,0
1686,May Be,No,Low,Low,0
1687,May Be,No,Low,Low,0
1688,May Be,No,Low,Low,0
1689,May Be,No,Low,Low,0
1690,May Be,No,Low,Low,0
1691,May Be,No,Low,Low,0
1692,May Be,No,Low,Low,0
1693,May Be,No,Low,Low,0
1694,May Be,No,Low,Low,0
1695,May Be,No,Low,Low,0
1696,May Be,No,Low,Low,0
1697,May Be,No,Low,Low,0
1698,May Be,No,Low,Low,0
1699,May Be,No,Low,Low,0
1700,May Be,No,Low,Low,0
