,LOCATION,CAMERA,POLICE,VISIBILTY,POPULATION,SAFETY
480,Peer ji dargah,No,May Be,Low,High,1
481,Peer ji dargah,No,May Be,Moderate,Low,0
482,Peer ji dargah,No,May Be,Moderate,Moderate,1
483,Peer ji dargah,No,May Be,Moderate,High,2
484,Peer ji dargah,No,May Be,High,Low,1
485,Peer ji dargah,No,May Be,High,Moderate,2
486,Peer ji dargah,No,May Be,High,High,2
487,Peer ji dargah,No,May Be,High,Low,2
488,Peer ji dargah,No,May Be,High,Moderate,3
489,Peer ji dargah,No,May Be,High,High,3
490,Punjabi university (main gate),Yes,Yes,Low,Low,0
491,Punjabi university (main gate),Yes,Yes,Low,Moderate,1
492,Punjabi university (main gate),Yes,Yes,Low,High,2
493,Punjabi university (main gate),Yes,Yes,Low,Low,1
494,Punjabi university (main gate),Yes,Yes,Low,Moderate,2
495,Punjabi university (main gate),Yes,Yes,Low,High,2
496,Punjabi university (main gate),Yes,Yes,Moderate,Low,1
497,Punjabi university (main gate),Yes,Yes,Moderate,Moderate,2
498,Punjabi university (main gate),Yes,Yes,Moderate,High,3
499,Punjabi university (main gate),Yes,Yes,High,Low,2
500,Punjabi university (main gate),Yes,Yes,High,Moderate,3
501,Punjabi university (main gate),Yes,Yes,High,High,4
502,Punjabi university (main gate),Yes,Yes,High,Low,3
503,Punjabi university (main gate),Yes,Yes,High,Moderate,4
504,Punjabi university (main gate),Yes,Yes,High,High,4
